rank	score	word	letters	syllables	zipf	flags
599	0.24	petronas	8	3	2.44	not-in-dict
600	0.24	philbin	7	2	2.44	not-in-dict
601	0.24	prichard	8	2	2.44	not-in-dict
602	0.24	projective	10	3	2.74	not-in-dict
603	0.24	purina	6	3	2.44	not-in-dict
604	0.23	pansies	7	2	2.43	not-in-dict
605	0.23	pearse	6	1	2.43	not-in-dict
606	0.23	plein	5	1	2.43	not-in-dict
607	0.23	pohl	4	1	2.43	not-in-dict
608	0.22	panetta	7	3	2.42	not-in-dict
609	0.22	pauley	6	2	2.42	not-in-dict
610	0.22	perla	5	2	2.42	not-in-dict
611	0.22	pogue	5	1	2.42	not-in-dict
612	0.22	presale	7	2	2.42	not-in-dict
613	0.22	pret	4	1	2.42	not-in-dict
614	0.21	purnell	7	2	2.41	not-in-dict
615	0.2	partum	6	2	2.4	not-in-dict
616	0.2	pascual	7	3	2.4	not-in-dict
617	0.2	perlis	6	2	1.9	proper-noun
618	0.2	perma	5	2	2.4	not-in-dict
619	0.2	perron	6	2	2.4	not-in-dict
620	0.2	plunker	7	2	0.0	inflected
621	0.2	podolski	8	3	2.4	not-in-dict
622	0.2	posen	5	2	2.4	not-in-dict
623	0.2	putterer	8	3	0.0	inflected
624	0.19	parkside	8	2	2.39	not-in-dict
625	0.19	pascale	7	2	2.39	not-in-dict
626	0.19	pedrosa	7	3	2.39	not-in-dict
627	0.19	peonies	7	3	2.39	not-in-dict
628	0.19	perri	5	2	2.39	not-in-dict
629	0.19	peterman	8	3	2.39	not-in-dict
630	0.19	pfister	7	2	2.39	not-in-dict
631	0.19	pickard	7	2	2.39	not-in-dict
632	0.19	pinkett	7	2	2.39	not-in-dict
633	0.19	platz	5	1	2.39	not-in-dict
634	0.19	polak	5	2	2.39	not-in-dict
635	0.19	prevents	8	2	3.89	not-in-dict,inflected
636	0.19	prieto	6	2	2.39	not-in-dict
637	0.19	punto	5	2	2.39	not-in-dict
638	0.18	paro	4	2	2.38	not-in-dict
639	0.18	patek	5	2	2.38	not-in-dict
640	0.18	pavia	5	3	2.38	not-in-dict
641	0.18	perceval	8	3	2.38	not-in-dict
642	0.18	pergamon	8	3	2.38	not-in-dict
643	0.18	pouty	5	2	2.38	not-in-dict
644	0.18	prashant	8	2	2.38	not-in-dict
645	0.17	padgett	7	2	2.37	not-in-dict
646	0.17	parise	6	2	2.37	not-in-dict
647	0.17	pennell	7	2	2.37	not-in-dict
648	0.16	parried	7	2	2.36	not-in-dict
649	0.16	pella	5	2	2.36	not-in-dict
650	0.16	perelman	8	3	2.36	not-in-dict
651	0.16	poppe	5	1	2.36	not-in-dict
652	0.15	pentland	8	2	2.35	not-in-dict
653	0.15	perrine	7	3	2.35	not-in-dict
654	0.15	phu	3	1	2.65	not-in-dict
655	0.15	picts	5	1	2.35	not-in-dict
656	0.15	piggott	7	2	2.35	not-in-dict
657	0.15	pillsbury	9	3	2.65	not-in-dict
658	0.15	pio	3	2	2.65	not-in-dict
659	0.15	popped	6	1	3.85	not-in-dict,inflected
660	0.15	powertrain	10	2	2.65	not-in-dict
661	0.15	predefined	10	3	2.65	not-in-dict
662	0.15	prowse	6	1	2.35	not-in-dict
663	0.14	picton	6	2	2.34	not-in-dict
664	0.14	pitkin	6	2	2.34	not-in-dict
665	0.14	posada	6	3	2.34	not-in-dict
666	0.14	prager	6	2	2.34	not-in-dict
667	0.14	pygmies	7	2	2.34	not-in-dict
668	0.13	panthers	8	2	3.83	not-in-dict,inflected
669	0.13	paxman	6	2	2.33	not-in-dict
670	0.13	peachtree	9	2	2.63	not-in-dict
671	0.13	pearlman	8	2	2.33	not-in-dict
672	0.13	pekin	5	2	2.33	not-in-dict
673	0.13	philby	6	2	2.33	not-in-dict
674	0.13	pitney	6	2	2.33	not-in-dict
675	0.13	poznan	6	2	2.33	not-in-dict
676	0.12	paramus	7	3	2.32	not-in-dict
677	0.12	pastore	7	2	2.32	not-in-dict
678	0.12	philpott	8	2	2.32	not-in-dict
679	0.12	pilkington	10	3	2.62	not-in-dict
680	0.12	poured	6	1	3.82	not-in-dict,inflected
681	0.12	psalms	6	1	3.32	proper-noun,inflected
682	0.11	pierpont	8	2	2.31	not-in-dict
683	0.11	prout	5	1	2.31	not-in-dict
684	0.1	palomar	7	3	2.3	not-in-dict
685	0.1	pensions	8	2	3.8	not-in-dict,inflected
686	0.1	polanco	7	3	2.3	not-in-dict
687	0.1	pooley	6	2	2.3	not-in-dict
688	0.1	poul	4	1	2.3	not-in-dict
689	0.09	passersby	9	3	2.59	not-in-dict
690	0.09	peltier	7	3	2.29	not-in-dict
691	0.09	pinkney	7	2	2.29	not-in-dict
692	0.09	poses	5	2	3.79	not-in-dict,inflected
693	0.09	poynter	7	2	2.29	not-in-dict
694	0.08	pandya	6	2	2.28	not-in-dict
695	0.08	partido	7	3	2.28	not-in-dict
696	0.08	pettigrew	9	3	2.58	not-in-dict
697	0.08	plimpton	8	2	2.28	not-in-dict
698	0.08	prego	5	2	2.28	not-in-dict
699	0.07	penfield	8	2	2.27	not-in-dict
700	0.07	preorders	9	3	2.57	not-in-dict
701	0.06	parisi	6	3	2.26	not-in-dict
702	0.06	pels	4	1	2.26	not-in-dict
703	0.06	pelton	6	2	2.26	not-in-dict
704	0.06	perkin	6	2	2.26	not-in-dict
705	0.06	plasticine	10	3	2.06	proper-noun
706	0.06	porno	5	2	3.36	vulgar
707	0.06	preordered	10	3	2.56	not-in-dict
708	0.05	paoli	5	2	2.25	not-in-dict
709	0.05	pitino	6	3	2.25	not-in-dict
710	0.05	portnoy	7	2	2.25	not-in-dict
711	0.05	premiums	8	3	3.75	not-in-dict,inflected
712	0.05	protects	8	2	3.75	not-in-dict,inflected
713	0.04	panza	5	2	2.24	not-in-dict
714	0.04	parsifal	8	3	2.24	not-in-dict
715	0.04	pasok	5	2	2.24	not-in-dict
716	0.04	pfeifer	7	2	2.24	not-in-dict
717	0.04	phy	3	1	2.54	not-in-dict
718	0.04	physicians	10	3	4.04	not-in-dict,inflected
719	0.04	playford	8	2	2.24	not-in-dict
720	0.04	poulton	7	2	2.24	not-in-dict
721	0.03	pathak	6	2	2.23	not-in-dict
722	0.03	patuxent	8	3	2.23	not-in-dict
723	0.03	poulsen	7	2	2.23	not-in-dict
724	0.03	pressley	8	2	2.23	not-in-dict
725	0.03	prevost	7	2	2.23	not-in-dict
726	0.03	pritchett	9	2	2.53	not-in-dict
727	0.03	pujol	5	2	2.23	not-in-dict
728	0.02	panik	5	2	2.22	not-in-dict
729	0.02	pawtucket	9	3	2.52	not-in-dict
730	0.02	personae	8	3	2.22	not-in-dict
731	0.02	pervert	7	2	3.32	vulgar
732	0.02	pesci	5	2	2.22	not-in-dict
733	0.02	petry	5	2	2.22	not-in-dict
734	0.02	pfeffer	7	2	2.22	not-in-dict
735	0.02	plumlee	7	2	2.22	not-in-dict
736	0.01	peay	4	1	2.21	not-in-dict
737	0.01	philp	5	1	2.21	not-in-dict
738	0.01	pressler	8	2	2.21	not-in-dict
739	0.01	pudong	6	2	2.21	not-in-dict
740	0.0	parham	6	2	2.2	not-in-dict
741	0.0	pasch	5	1	1.7	proper-noun
742	0.0	paulding	8	2	2.2	not-in-dict
743	0.0	peters	6	2	3.7	not-in-dict,inflected
744	0.0	phar	4	1	2.2	not-in-dict
745	0.0	phinney	7	2	2.2	not-in-dict
746	0.0	prather	7	2	2.2	not-in-dict
747	0.0	prensa	6	2	2.2	not-in-dict
748	0.0	primates	8	2	3.2	proper-noun,inflected
749	0.0	prithvi	7	2	2.2	not-in-dict
750	-0.01	pardee	6	2	2.19	not-in-dict
751	-0.01	peretz	6	2	2.19	not-in-dict
752	-0.01	pollak	6	2	2.19	not-in-dict
753	-0.01	prato	5	2	2.19	not-in-dict
754	-0.01	princes	7	2	3.69	not-in-dict,inflected
755	-0.01	prinz	5	1	2.19	not-in-dict
756	-0.01	pulver	6	2	2.19	not-in-dict
757	-0.02	passages	8	3	3.68	not-in-dict,inflected
758	-0.02	pathe	5	1	2.18	not-in-dict
759	-0.02	pelletier	9	3	2.48	not-in-dict
760	-0.02	perrault	8	2	2.18	not-in-dict
761	-0.02	prostitute	10	3	3.58	vulgar
762	-0.03	paltz	5	1	2.17	not-in-dict
763	-0.03	payless	7	2	2.17	not-in-dict
764	-0.03	petrino	7	3	2.17	not-in-dict
765	-0.03	preece	6	1	2.17	not-in-dict
766	-0.03	prefers	7	2	3.67	not-in-dict,inflected
767	-0.03	proposes	8	3	3.67	not-in-dict,inflected
768	-0.04	paints	6	1	3.66	not-in-dict,inflected
769	-0.04	paquin	6	2	2.16	not-in-dict
770	-0.04	peasants	8	2	3.66	not-in-dict,inflected
771	-0.04	peppers	7	2	3.66	not-in-dict,inflected
772	-0.04	pez	3	1	2.46	not-in-dict
773	-0.04	phaneuf	7	2	2.16	not-in-dict
774	-0.04	popham	6	2	2.16	not-in-dict
775	-0.04	portis	6	2	2.16	not-in-dict
776	-0.04	preble	6	2	2.16	not-in-dict
777	-0.04	prepares	8	2	3.66	not-in-dict,inflected
778	-0.04	previn	6	2	2.16	not-in-dict
779	-0.04	prudhoe	7	2	2.16	not-in-dict
780	-0.05	panky	5	2	2.15	not-in-dict
781	-0.05	pearsall	8	2	2.15	not-in-dict
782	-0.05	pemex	5	2	2.15	not-in-dict
783	-0.05	perkins	7	2	3.65	not-in-dict,inflected
784	-0.05	poulin	6	2	2.15	not-in-dict
785	-0.05	pouliot	7	3	2.15	not-in-dict
786	-0.05	probert	7	2	2.15	not-in-dict
787	-0.05	prostheses	10	3	2.45	not-in-dict
788	-0.06	pathways	8	2	3.64	not-in-dict,inflected
789	-0.06	pavo	4	2	1.64	proper-noun
790	-0.06	phuong	6	2	2.14	not-in-dict
791	-0.06	pigott	6	2	2.14	not-in-dict
792	-0.06	pitches	7	2	3.64	not-in-dict,inflected
793	-0.06	poindexter	10	3	2.44	not-in-dict
794	-0.06	porth	5	1	2.14	not-in-dict
795	-0.07	palumbo	7	3	2.13	not-in-dict
796	-0.07	paperless	9	3	2.43	not-in-dict
797	-0.07	pisano	6	3	2.13	not-in-dict
798	-0.07	placido	7	3	2.13	not-in-dict
799	-0.07	prins	5	1	2.13	not-in-dict
800	-0.07	pugsley	7	2	2.13	not-in-dict
801	-0.08	parfitt	7	2	2.12	not-in-dict
802	-0.08	peeters	7	2	2.12	not-in-dict
803	-0.08	petrarca	8	3	1.62	proper-noun
804	-0.08	phillis	7	2	2.12	not-in-dict
805	-0.08	pillars	7	2	3.62	not-in-dict,inflected
806	-0.08	poch	4	1	2.12	not-in-dict
807	-0.08	porco	5	2	2.12	not-in-dict
808	-0.08	porthos	7	2	2.12	not-in-dict
809	-0.08	pran	4	1	2.12	not-in-dict
810	-0.08	presumed	8	2	3.62	not-in-dict,inflected
811	-0.08	printers	8	2	3.62	not-in-dict,inflected
812	-0.08	professors	10	3	3.92	not-in-dict,inflected
813	-0.09	papp	4	1	2.11	not-in-dict
814	-0.09	penfold	7	2	2.11	not-in-dict
815	-0.09	petrobras	9	3	2.41	not-in-dict
816	-0.09	petrovich	9	3	2.41	not-in-dict
817	-0.09	polito	6	3	2.11	not-in-dict
818	-0.09	poston	6	2	2.11	not-in-dict
819	-0.09	pru	3	1	2.41	not-in-dict
820	-0.09	pryde	5	1	2.11	not-in-dict
821	-0.1	paule	5	1	2.1	not-in-dict
822	-0.1	petrovic	8	3	2.1	not-in-dict
823	-0.1	poore	5	1	2.1	not-in-dict
824	-0.1	poorer	6	2	3.6	not-in-dict,inflected
825	-0.1	popp	4	1	2.1	not-in-dict
826	-0.1	poynton	7	2	2.1	not-in-dict
827	-0.1	pres	4	1	3.6	not-in-dict,inflected
828	-0.11	patmore	7	2	2.09	not-in-dict
829	-0.11	patt	4	1	2.09	not-in-dict
830	-0.11	penton	6	2	2.09	not-in-dict
831	-0.11	perdita	7	3	2.09	not-in-dict
832	-0.11	pilger	6	2	2.09	not-in-dict
833	-0.11	pleasanton	10	3	2.39	not-in-dict
834	-0.11	ponton	6	2	2.09	not-in-dict
835	-0.12	paquette	8	2	2.08	not-in-dict
836	-0.12	passions	8	2	3.58	not-in-dict,inflected
837	-0.12	paynter	7	2	2.08	not-in-dict
838	-0.12	peto	4	2	2.08	not-in-dict
839	-0.12	pfaff	5	1	2.08	not-in-dict
840	-0.12	plympton	8	2	2.08	not-in-dict
841	-0.12	polson	6	2	2.08	not-in-dict
842	-0.12	pomeranz	8	3	2.08	not-in-dict
843	-0.12	publicis	8	3	2.08	not-in-dict
844	-0.13	packham	7	2	2.07	not-in-dict
845	-0.13	paxson	6	2	2.07	not-in-dict
846	-0.13	piatt	5	2	2.07	not-in-dict
847	-0.13	pirro	5	2	2.07	not-in-dict
848	-0.13	pisani	6	3	2.07	not-in-dict
849	-0.13	porcello	8	3	2.07	not-in-dict
850	-0.13	pring	5	1	2.07	not-in-dict
851	-0.13	proceeded	9	3	3.87	not-in-dict,inflected
852	-0.14	panem	5	2	2.06	not-in-dict
853	-0.14	pataki	6	3	2.06	not-in-dict
854	-0.14	peltz	5	1	2.06	not-in-dict
855	-0.14	peretti	7	3	2.06	not-in-dict
856	-0.14	pinta	5	2	2.06	not-in-dict
857	-0.14	pollitt	7	2	2.06	not-in-dict
858	-0.14	prideaux	8	2	2.06	not-in-dict
859	-0.14	pubs	4	1	3.56	not-in-dict,inflected
860	-0.15	parkhurst	9	2	2.35	not-in-dict
861	-0.15	parler	6	2	2.05	not-in-dict
862	-0.15	pelley	6	2	2.05	not-in-dict
863	-0.15	perrot	6	2	2.05	not-in-dict
864	-0.15	perryman	8	3	2.05	not-in-dict
865	-0.15	pettitte	8	2	2.05	not-in-dict
866	-0.15	pinheiro	8	3	2.05	not-in-dict
867	-0.15	planners	8	2	3.55	not-in-dict,inflected
868	-0.15	pouncey	7	2	2.05	not-in-dict
869	-0.15	produc	6	2	2.05	not-in-dict
870	-0.15	purves	6	1	2.05	not-in-dict
871	-0.16	packwood	8	2	2.04	not-in-dict
872	-0.16	parekh	6	2	2.04	not-in-dict
873	-0.16	patinkin	8	3	2.04	not-in-dict
874	-0.16	pearls	6	1	3.54	not-in-dict,inflected
875	-0.16	phyla	5	2	2.04	not-in-dict
876	-0.16	predawn	7	2	2.04	not-in-dict
877	-0.16	prewitt	7	2	2.04	not-in-dict
878	-0.16	pulliam	7	3	2.04	not-in-dict
879	-0.16	putman	6	2	2.04	not-in-dict
880	-0.17	parikh	6	2	2.03	not-in-dict
881	-0.17	perna	5	2	2.03	not-in-dict
882	-0.17	podunk	6	2	2.03	not-in-dict
883	-0.17	proulx	6	1	2.03	not-in-dict
884	-0.18	packets	7	2	3.52	not-in-dict,inflected
885	-0.18	paiva	5	2	2.02	not-in-dict
886	-0.18	panmure	7	2	2.02	not-in-dict
887	-0.18	pettine	7	3	2.02	not-in-dict
888	-0.18	philpot	7	2	2.02	not-in-dict
889	-0.18	piccoli	7	3	2.02	not-in-dict
890	-0.18	politi	6	3	2.02	not-in-dict
891	-0.18	powe	4	1	2.02	not-in-dict
892	-0.18	presses	7	2	3.52	not-in-dict,inflected
893	-0.18	prynne	6	1	2.02	not-in-dict
894	-0.19	parada	6	3	2.01	not-in-dict
895	-0.19	pepi	4	2	2.01	not-in-dict
896	-0.19	perine	6	3	2.01	not-in-dict
897	-0.19	piercy	6	2	2.01	not-in-dict
898	-0.19	piers	5	1	3.51	not-in-dict,inflected
899	-0.19	pinson	6	2	2.01	not-in-dict
900	-0.19	ponti	5	2	2.01	not-in-dict
901	-0.19	popa	4	2	2.01	not-in-dict
902	-0.19	praises	7	2	3.51	not-in-dict,inflected
903	-0.19	pree	4	1	2.01	not-in-dict
904	-0.19	prest	5	1	2.01	not-in-dict
905	-0.19	presti	6	2	2.01	not-in-dict
906	-0.2	paulin	6	2	2.0	not-in-dict
907	-0.2	payette	7	2	2.0	not-in-dict
908	-0.2	perino	6	3	2.0	not-in-dict
909	-0.2	perret	6	2	2.0	not-in-dict
910	-0.2	pini	4	2	2.0	not-in-dict
911	-0.2	plainview	9	2	2.3	not-in-dict
912	-0.2	plotkin	7	2	2.0	not-in-dict
913	-0.2	pollok	6	2	2.0	not-in-dict
914	-0.2	popovic	7	3	2.0	not-in-dict
915	-0.2	poulson	7	2	2.0	not-in-dict
916	-0.2	puth	4	1	2.0	not-in-dict
917	-0.21	perro	5	2	1.99	not-in-dict
918	-0.21	positioned	10	3	3.79	not-in-dict,inflected
919	-0.21	prieta	6	2	1.99	not-in-dict
920	-0.22	pascua	6	3	1.98	not-in-dict
921	-0.22	patchett	8	2	1.98	not-in-dict
922	-0.22	patrols	7	2	3.48	not-in-dict,inflected
923	-0.22	penrod	6	2	1.98	not-in-dict
924	-0.22	pense	5	1	1.98	not-in-dict
925	-0.22	petrels	7	2	1.98	not-in-dict
926	-0.22	piel	4	1	1.98	not-in-dict
927	-0.22	pisses	6	2	3.48	not-in-dict,inflected
928	-0.22	portadown	9	3	2.28	not-in-dict
929	-0.22	promotions	10	3	3.78	not-in-dict,inflected
930	-0.22	prothero	8	3	1.98	not-in-dict
931	-0.23	palest	6	2	1.97	not-in-dict
932	-0.23	parmar	6	2	1.97	not-in-dict
933	-0.23	peachey	7	2	1.97	not-in-dict
934	-0.23	pelikan	7	3	1.97	not-in-dict
935	-0.23	pepcid	6	2	1.47	proper-noun
936	-0.23	performa	8	3	1.97	not-in-dict
937	-0.23	perlmutter	10	3	2.27	not-in-dict
938	-0.23	pettersson	10	3	2.27	not-in-dict
939	-0.23	pharr	5	1	1.97	not-in-dict
940	-0.23	plessy	6	2	1.97	not-in-dict
941	-0.23	plouffe	7	1	1.97	not-in-dict
942	-0.23	plugs	5	1	3.47	not-in-dict,inflected
943	-0.24	paulino	7	3	1.96	not-in-dict
944	-0.24	pavey	5	2	1.96	not-in-dict
945	-0.24	peco	4	2	1.96	not-in-dict
946	-0.24	perlin	6	2	1.96	not-in-dict
947	-0.24	petrucci	8	3	1.96	not-in-dict
948	-0.24	pettus	6	2	1.96	not-in-dict
949	-0.24	pictet	6	2	1.96	not-in-dict
950	-0.24	pinney	6	2	1.96	not-in-dict
951	-0.24	pinsky	6	2	1.96	not-in-dict
952	-0.24	pistols	7	2	3.46	not-in-dict,inflected
953	-0.24	ponds	5	1	3.46	not-in-dict,inflected
954	-0.24	pote	4	1	1.96	not-in-dict
955	-0.24	powis	5	2	1.96	not-in-dict
956	-0.24	privileges	10	3	3.76	not-in-dict,inflected
957	-0.24	protesting	10	3	3.76	not-in-dict,inflected
958	-0.24	protocols	9	3	3.76	not-in-dict,inflected
959	-0.24	prouty	6	2	1.96	not-in-dict
960	-0.24	puls	4	1	1.96	not-in-dict
961	-0.25	pennock	7	2	1.95	not-in-dict
962	-0.25	peroni	6	3	1.95	not-in-dict
963	-0.25	phebe	5	2	1.95	not-in-dict
964	-0.25	pinkham	7	2	1.95	not-in-dict
965	-0.25	pods	4	1	3.45	not-in-dict,inflected
966	-0.25	posco	5	2	1.95	not-in-dict
967	-0.26	paden	5	2	1.94	not-in-dict
968	-0.26	pieper	6	2	1.94	not-in-dict
969	-0.26	pines	5	1	3.44	not-in-dict,inflected
970	-0.26	pitchers	8	2	3.44	not-in-dict,inflected
971	-0.26	pittston	8	2	1.94	not-in-dict
972	-0.26	pospisil	8	3	1.94	not-in-dict
973	-0.26	postponed	9	2	3.74	not-in-dict,inflected
974	-0.26	prokop	6	2	1.94	not-in-dict
975	-0.27	pando	5	2	1.93	not-in-dict
976	-0.27	paull	5	1	1.93	not-in-dict
977	-0.27	pepita	6	3	1.93	not-in-dict
978	-0.27	perrett	7	2	1.93	not-in-dict
979	-0.27	pesce	5	1	1.93	not-in-dict
980	-0.27	phen	4	1	1.93	not-in-dict
981	-0.27	pilatus	7	3	1.93	not-in-dict
982	-0.27	pineau	6	2	1.93	not-in-dict
983	-0.27	pinkston	8	2	1.93	not-in-dict
984	-0.27	polloi	6	2	1.93	not-in-dict
985	-0.27	ponto	5	2	1.93	not-in-dict
986	-0.27	predicts	8	2	3.43	not-in-dict,inflected
987	-0.27	probes	6	1	3.43	not-in-dict,inflected
988	-0.27	puss	4	1	3.03	vulgar
989	-0.28	pannell	7	2	1.92	not-in-dict
990	-0.28	parrett	7	2	1.92	not-in-dict
991	-0.28	peeples	7	2	1.92	not-in-dict
992	-0.28	perignon	8	3	1.92	not-in-dict
993	-0.28	pilon	5	2	1.92	not-in-dict
994	-0.28	pizzo	5	2	1.92	not-in-dict
995	-0.28	popkin	6	2	1.92	not-in-dict
996	-0.28	pozo	4	2	1.92	not-in-dict
997	-0.28	preuss	6	1	1.92	not-in-dict
998	-0.28	prine	5	1	1.92	not-in-dict
999	-0.28	proba	5	2	1.92	not-in-dict
1000	-0.28	prophesies	10	3	2.22	not-in-dict
1001	-0.28	puneet	6	2	1.92	not-in-dict
1002	-0.28	pyatt	5	2	1.92	not-in-dict
1003	-0.29	pelayo	6	3	1.91	not-in-dict
1004	-0.29	pernell	7	2	1.91	not-in-dict
1005	-0.29	pests	5	1	3.41	not-in-dict,inflected
1006	-0.29	peterkin	8	3	1.91	not-in-dict
1007	-0.29	philips	7	2	3.41	not-in-dict,inflected
1008	-0.29	preis	5	1	1.91	not-in-dict
1009	-0.29	presided	8	3	3.41	not-in-dict,inflected
1010	-0.29	priddy	6	2	1.91	not-in-dict
1011	-0.3	palmolive	9	3	2.2	not-in-dict
1012	-0.3	pastrana	8	3	1.9	not-in-dict
1013	-0.3	perea	5	3	1.9	not-in-dict
1014	-0.3	petrillo	8	3	1.9	not-in-dict
1015	-0.3	pgm	3	3	2.2	not-in-dict
1016	-0.3	phillippe	9	2	2.2	not-in-dict
1017	-0.3	platten	7	2	1.9	not-in-dict
1018	-0.3	pohang	6	2	1.9	not-in-dict
1019	-0.3	pulido	6	3	1.9	not-in-dict
1020	-0.3	puppets	7	2	3.4	not-in-dict,inflected
1021	-0.31	parenti	7	3	1.89	not-in-dict
1022	-0.31	parvin	6	2	1.89	not-in-dict
1023	-0.31	pawson	6	2	1.89	not-in-dict
1024	-0.31	perham	6	2	1.89	not-in-dict
1025	-0.31	pimco	5	2	1.89	not-in-dict
1026	-0.31	pimm	4	1	1.89	not-in-dict
1027	-0.31	piro	4	2	1.89	not-in-dict
1028	-0.31	poyser	6	2	1.89	not-in-dict
1029	-0.31	priciest	8	3	1.89	not-in-dict
1030	-0.31	prodi	5	2	1.89	not-in-dict
1031	-0.31	proposing	9	3	3.69	not-in-dict,inflected
1032	-0.31	puskas	6	2	1.89	not-in-dict
1033	-0.32	pae	3	1	2.18	not-in-dict
1034	-0.32	papo	4	2	1.88	not-in-dict
1035	-0.32	pardi	5	2	1.88	not-in-dict
1036	-0.32	pectoris	8	3	1.88	not-in-dict
1037	-0.32	peden	5	2	1.88	not-in-dict
1038	-0.32	peronist	8	3	1.88	not-in-dict
1039	-0.32	plodded	7	2	1.88	not-in-dict
1040	-0.32	prescot	7	2	1.88	not-in-dict
1041	-0.32	pruett	6	1	1.88	not-in-dict
1042	-0.32	pumphrey	8	2	1.88	not-in-dict
1043	-0.33	paglia	6	3	1.87	not-in-dict
1044	-0.33	parkhill	8	2	1.87	not-in-dict
1045	-0.33	parrilla	8	3	1.87	not-in-dict
1046	-0.33	pennzoil	8	2	1.87	not-in-dict
1047	-0.33	perley	6	2	1.87	not-in-dict
1048	-0.33	preached	8	1	3.37	not-in-dict,inflected
1049	-0.33	proofs	6	1	3.37	not-in-dict,inflected
1050	-0.33	pulses	6	2	3.37	not-in-dict,inflected
1051	-0.33	puttnam	7	2	1.87	not-in-dict
1052	-0.34	parag	5	2	1.86	not-in-dict
1053	-0.34	parcels	7	2	3.36	not-in-dict,inflected
1054	-0.34	patz	4	1	1.86	not-in-dict
1055	-0.34	pavlik	6	2	1.86	not-in-dict
1056	-0.34	pegram	6	2	1.86	not-in-dict
1057	-0.34	pellerin	8	3	1.86	not-in-dict
1058	-0.34	piana	5	3	1.86	not-in-dict
1059	-0.34	pigeons	7	2	3.36	not-in-dict,inflected
1060	-0.34	pletcher	8	2	1.86	not-in-dict
1061	-0.34	poleward	8	2	1.86	not-in-dict
1062	-0.34	prejean	7	2	1.86	not-in-dict
1063	-0.35	padron	6	2	1.85	not-in-dict
1064	-0.35	pannu	5	2	1.85	not-in-dict
1065	-0.35	persaud	7	2	1.85	not-in-dict
1066	-0.35	phaseout	8	2	1.85	not-in-dict
1067	-0.35	polgar	6	2	1.85	not-in-dict
1068	-0.35	pownall	7	2	1.85	not-in-dict
1069	-0.35	prebble	7	2	1.85	not-in-dict
1070	-0.35	pursuits	8	2	3.35	not-in-dict,inflected
1071	-0.36	panas	5	2	1.84	not-in-dict
1072	-0.36	pangborn	8	2	1.84	not-in-dict
1073	-0.36	pardy	5	2	1.84	not-in-dict
1074	-0.36	penniman	8	3	1.84	not-in-dict
1075	-0.36	perin	5	2	1.84	not-in-dict
1076	-0.36	pett	4	1	1.84	not-in-dict
1077	-0.36	phillies	8	2	3.34	not-in-dict,inflected
1078	-0.36	pichon	6	2	1.84	not-in-dict
1079	-0.36	pingree	7	2	1.84	not-in-dict
1080	-0.36	pistons	7	2	3.34	not-in-dict,inflected
1081	-0.36	potvin	6	2	1.84	not-in-dict
1082	-0.36	prats	5	1	1.84	not-in-dict
1083	-0.36	punkin	6	2	1.84	not-in-dict
1084	-0.37	paez	4	2	1.83	not-in-dict
1085	-0.37	picken	6	2	1.83	not-in-dict
1086	-0.37	pitchford	9	2	2.13	not-in-dict
1087	-0.37	plowden	7	2	1.83	not-in-dict
1088	-0.37	portrays	8	2	3.33	not-in-dict,inflected
1089	-0.37	potenza	7	3	1.83	not-in-dict
1090	-0.37	povich	6	2	1.83	not-in-dict
1091	-0.37	pozzi	5	2	1.83	not-in-dict
1092	-0.37	previews	8	2	3.33	not-in-dict,inflected
1093	-0.38	parcell	7	2	1.82	not-in-dict
1094	-0.38	parfums	7	2	1.82	not-in-dict
1095	-0.38	parishes	8	3	3.32	not-in-dict,inflected
1096	-0.38	parnes	6	1	1.82	not-in-dict
1097	-0.38	patrie	6	3	1.82	not-in-dict
1098	-0.38	peyser	6	2	1.82	not-in-dict
1099	-0.38	pixley	6	2	1.82	not-in-dict
1100	-0.38	playtex	7	2	1.82	not-in-dict
1101	-0.38	polonsky	8	3	1.82	not-in-dict
1102	-0.38	poulos	6	2	1.82	not-in-dict
1103	-0.38	pretends	8	2	3.32	not-in-dict,inflected
1104	-0.38	prettier	8	3	3.32	not-in-dict,inflected
1105	-0.38	pups	4	1	3.32	not-in-dict,inflected
1106	-0.38	purdie	6	2	1.82	not-in-dict
1107	-0.39	palance	7	2	1.81	not-in-dict
1108	-0.39	pamby	5	2	1.81	not-in-dict
1109	-0.39	pasqua	6	2	1.81	not-in-dict
1110	-0.39	patridge	8	2	1.81	not-in-dict
1111	-0.39	peko	4	2	1.81	not-in-dict
1112	-0.39	perrone	7	3	1.81	not-in-dict
1113	-0.39	persists	8	2	3.31	not-in-dict,inflected
1114	-0.39	pietsch	7	1	1.81	not-in-dict
1115	-0.39	pinault	7	2	1.81	not-in-dict
1116	-0.39	poche	5	1	1.81	not-in-dict
1117	-0.39	polizzi	7	3	1.81	not-in-dict
1118	-0.39	possesses	9	3	3.61	not-in-dict,inflected
1119	-0.39	proffitt	8	2	1.81	not-in-dict
1120	-0.4	pagel	5	2	1.8	not-in-dict
1121	-0.4	parador	7	3	1.8	not-in-dict
1122	-0.4	patrolmen	9	3	2.1	not-in-dict
1123	-0.4	pawley	6	2	1.8	not-in-dict
1124	-0.4	pengelly	8	3	1.8	not-in-dict
1125	-0.4	pereyra	7	3	1.8	not-in-dict
1126	-0.4	phalange	8	2	1.8	not-in-dict
1127	-0.4	portals	7	2	3.3	not-in-dict,inflected
