word	pos	proper
phillyrea	n	1
philogyny	n	0
philohela	n	1
philologue	n	0
philology	n	0
philomath	n	0
philosophy	n	0
philter	n	0
philtre	n	0
phimosis	n	0
phintias	n	1
phiz	n	0
phlebitis	n	0
phlebodium	n	1
phlebogram	n	0
phlebotomy	n	0
phlegm	n	0
phlegmatic	a	0
phlegmy	a	0
phleum	n	1
phloem	n	0
phlogiston	n	0
phlogopite	n	0
phlomis	n	0
phlox	n	0
phobia	n	0
phobic	a	0
phobos	n	1
phoca	n	1
phocidae	n	1
phocine	a	0
phocoena	n	1
phocomelia	n	0
phoebe	n	0
phoebus	n	1
phoenicia	n	1
phoenician	an	1
phoenix	n	0
pholadidae	n	1
pholas	n	1
pholidae	n	1
pholidota	n	1
pholiota	n	1
pholis	n	1
pholistoma	n	1
phon	n	0
phonate	v	0
phonation	n	0
phone	nv	0
phonebook	n	0
phoneme	n	0
phonemic	ar	0
phonemics	n	0
phoner	n	0
phonetic	a	0
phonetics	n	0
phoney	an	0
phonic	a	0
phonics	n	0
phonogram	n	0
phonograph	n	0
phonologic	a	0
phonology	n	0
phony	an	0
phoronid	n	0
phoronida	n	1
phoronidea	n	1
phosgene	n	0
phosphate	n	0
phosphine	n	0
phosphor	n	0
phosphoric	a	0
phosphorus	n	0
phot	n	0
photalgia	n	0
photic	a	0
photinia	n	1
photius	n	1
photo	n	0
photocell	n	0
photocopy	nv	0
photoflash	n	0
photoflood	n	0
photogenic	a	0
photograph	nv	0
photometer	n	0
photometry	n	0
photon	n	0
photostat	nv	0
phoxinus	n	1
phragmites	n	1
phrasal	a	0
phrase	nv	0
phrasing	n	0
phratry	n	0
phreatic	a	0
phrenetic	a	0
phrenic	a	0
phrenitis	n	0
phrenology	n	0
phrygia	n	1
phrygian	n	1
phrynosoma	n	1
phs	n	1
phthirius	n	1
phthirus	n	1
phthisis	n	0
phycobilin	n	0
phycology	n	0
phylactery	n	0
phyle	n	0
phyletic	a	0
phyllidae	n	1
phylliform	a	0
phyllitis	n	1
phyllium	n	1
phyllo	n	0
phylloclad	n	0
phyllode	n	0
phyllodial	a	0
phyllodoce	n	1
phylloxera	n	1
phylogeny	n	0
phylum	n	0
physa	n	0
physalia	n	1
physalis	n	1
physaria	n	1
physeter	n	1
physic	n	0
physical	a	0
physically	r	0
physician	n	0
physicist	n	0
physics	n	0
physidae	n	1
physiology	n	0
physique	n	0
phytolacca	n	1
phytology	n	0
phytotoxin	n	0
pi	n	0
pia	n	0
piaf	n	1
piaffe	n	0
piaget	n	1
piagetian	a	1
pianism	n	0
pianissimo	anr	0
pianist	n	0
pianistic	a	0
piano	anr	0
pianoforte	n	0
pianola	n	1
piaster	n	0
piastre	n	0
piazza	n	0
pib	n	1
pibgorn	n	0
pibit	n	1
pibroch	n	0
pic	n	0
pica	n	0
picador	n	0
picaninny	n	0
picardie	n	1
picardy	n	1
picaresque	a	0
picariae	n	1
picasso	n	1
picayune	a	0
piccalilli	n	0
piccaninny	n	0
piccolo	n	0
picea	n	1
pichi	n	0
pichiciago	n	0
pichiciego	n	0
picidae	n	1
piciformes	n	1
pick	nv	0
pickaback	r	0
pickaninny	n	0
pickax	n	0
pickaxe	n	0
picker	n	0
pickerel	n	0
picket	nv	0
pickett	n	1
pickford	n	1
picking	n	0
pickings	n	0
pickle	nv	0
pickled	a	0
picklepuss	n	0
picknicker	n	0
pickpocket	n	0
pickup	n	0
picky	a	0
picnic	nv	0
picnicker	n	0
picofarad	n	0
picoides	n	1
picometer	n	0
picometre	n	0
picosecond	n	0
picot	n	0
picovolt	n	0
picrasma	n	1
picris	n	1
pictograph	n	0
pictor	n	1
pictorial	an	0
pictural	a	0
picture	nv	0
pictured	a	0
picturing	n	0
picul	n	0
piculet	n	0
picumnus	n	1
picus	n	1
pid	n	1
piddle	nv	0
piddling	a	0
piddock	n	0
pidgin	n	0
pidlimdi	n	1
pie	n	0
piebald	a	0
piece	nv	0
piecemeal	ar	0
piecework	n	0
pied	a	0
piedmont	n	0
piemonte	n	1
pieplant	n	0
pier	n	0
pierce	nv	0
pierced	a	0
piercing	a	0
piercingly	r	0
pierid	n	0
pieridae	n	1
pieris	n	1
pierre	n	1
pierrot	n	1
pieta	n	0
pietism	n	0
pietistic	a	0
piety	n	0
piezometer	n	0
piffle	nv	0
piffling	a	0
pig	nv	0
pigboat	n	0
pigeon	n	0
pigeonhole	nv	0
pigfish	n	0
piggery	n	0
piggish	a	0
piggishly	r	0
piggy	an	0
piggyback	nrv	0
pigheaded	a	0
piglet	n	0
pigman	n	0
pigment	nv	0
pigmy	n	0
pignolia	n	0
pignut	n	0
pigpen	n	0
pigskin	n	0
pigsty	n	0
pigswill	n	0
pigtail	n	0
pigwash	n	0
pigweed	n	0
pij	n	1
pika	n	0
pike	n	0
pikeblenny	n	0
pikestaff	n	0
pilaf	n	0
pilaff	n	0
pilar	a	0
pilary	a	0
pilaster	n	0
pilate	n	1
pilau	n	0
pilaw	n	0
pilchard	n	0
pile	nv	0
pilea	n	1
piles	n	0
pileup	n	0
pileus	n	0
pilewort	n	0
pilfer	v	0
pilferage	n	0
pilferer	n	0
pilgrim	n	0
pilgrimage	n	0
piling	n	0
pill	n	0
pillage	nv	0
pillaged	a	0
pillager	n	0
pillaging	n	0
pillar	n	0
pillared	a	0
pillbox	n	0
pillion	n	0
pillock	n	0
pillory	nv	0
pillow	nv	0
pillowcase	n	0
pillwort	n	0
pilose	a	0
pilosella	n	1
pilosity	n	0
pilot	nv	0
pilotage	n	0
pilotfish	n	0
pilothouse	n	0
piloting	n	0
pilotless	a	0
pilous	a	0
pilsen	n	1
pilsener	n	1
pilsner	n	1
pilularia	n	1
pilus	n	0
pima	n	1
pimenta	n	1
pimento	n	0
pimiento	n	0
pimlico	n	1
pimozide	n	0
pimp	nv	0
pimpernel	n	0
pimpinella	n	1
pimple	n	0
pimpled	a	0
pimply	a	0
pin	nv	0
pinaceae	n	1
pinafore	n	0
pinata	n	0
pinatubo	n	1
pinball	n	0
pincer	n	0
pinch	nv	0
pinchbeck	an	0
pinche	n	0
pinched	a	0
pinchgut	n	0
pinckneya	n	1
pinctada	n	1
pincus	n	1
pincushion	n	0
pindar	n	1
pindaric	n	1
pindolol	n	0
pine	nv	0
pineal	a	0
pinealoma	n	0
pineapple	n	0
pinecone	n	0
pinesap	n	0
pinetum	n	0
pineus	n	1
pineweed	n	0
pinfish	n	0
pinfold	n	0
ping	nv	0
pinger	n	0
pinguecula	n	0
pinguicula	n	1
pinguinus	n	1
pinhead	n	0
pinhole	n	0
pinicola	n	1
pining	n	0
pinion	nv	0
pinioned	a	0
pinite	n	0
pink	anv	0
pinkeye	n	0
pinkie	n	0
pinkify	v	0
pinkish	a	0
pinkness	n	0
pinko	n	0
pinkroot	n	0
pinky	n	0
pinna	n	0
pinnace	n	0
pinnacle	nv	0
pinnate	a	0
pinnated	a	0
pinnately	r	0
pinnatifid	a	0
pinnatiped	n	0
pinner	n	0
pinning	n	0
pinniped	n	0
pinnipedia	n	1
pinnule	n	0
pinny	n	0
pinochle	n	0
pinocle	n	0
pinole	n	0
pinon	n	0
pinopsida	n	1
pinot	n	1
pinpoint	nv	0
pinprick	n	0
pinscher	n	0
pinsk	n	1
pinstripe	n	0
pinstriped	a	0
pint	n	0
pintado	n	0
pintail	n	0
pinter	n	1
pintle	n	0
pinto	n	0
pinus	n	1
pinwheel	n	0
pinworm	n	0
pinyon	n	0
piolet	n	0
pion	n	0
pioneer	nv	0
pious	a	0
piously	r	0
piousness	n	0
pip	nv	0
pipa	n	1
pipage	n	0
pipal	n	0
pipe	nv	0
pipeclay	n	0
pipefish	n	0
pipeful	n	0
pipeline	n	0
piper	n	0
piperaceae	n	1
piperales	n	1
piperazine	n	0
piperin	n	0
piperine	n	0
pipet	n	0
pipette	n	0
pipework	n	0
pipewort	n	0
pipidae	n	1
pipile	n	1
pipilo	n	1
piping	nr	0
pipistrel	n	0
pipit	n	0
pippin	n	1
pipra	n	1
pipracil	n	1
pipridae	n	1
pipsissewa	n	0
piptadenia	n	1
pipturus	n	1
pipul	n	0
piquance	n	0
piquancy	n	0
piquant	a	0
piquantly	r	0
pique	nv	0
piqueria	n	1
piquet	n	0
piracy	n	0
pirana	n	0
pirandello	n	1
piranga	n	1
piranha	n	0
pirate	nv	0
piratical	a	0
pirogi	n	0
pirogue	n	0
piroplasm	n	0
piroshki	n	0
pirouette	nv	0
piroxicam	n	0
pirozhki	n	0
pisa	n	1
pisanosaur	n	0
piscary	n	0
piscatory	a	0
pisces	n	1
piscidia	n	1
piscine	a	0
pisiform	n	0
pismire	n	0
pisonia	n	1
piss	nv	0
pissed	a	0
pisser	n	0
pissing	n	0
pissis	n	1
pistachio	n	0
pistacia	n	1
piste	n	0
pistia	n	0
pistil	n	0
pistillate	a	0
pistillode	n	0
pistol	n	0
pistoleer	n	0
piston	n	0
pisum	n	1
pit	nv	0
pita	n	0
pitahaya	n	0
pitanga	n	0
pitch	nv	0
pitched	a	0
pitcher	n	0
pitcherful	n	0
pitchfork	nv	0
pitching	n	0
pitchman	n	0
pitchstone	n	0
pitchy	a	0
piteous	a	0
piteously	r	0
pitfall	n	0
pith	nv	0
pithead	n	0
pithecia	n	1
pithily	r	0
pithiness	n	0
pithy	a	0
pitiable	a	0
pitiably	r	0
pitiful	a	0
pitifully	r	0
pitiless	a	0
pitilessly	r	0
pitman	n	0
pitocin	n	1
piton	n	0
pitot	n	1
pitprop	n	0
pitressin	n	1
pitsaw	n	0
pitt	n	1
pitta	n	0
pittance	n	0
pitted	a	0
pittidae	n	1
pitting	n	0
pittsburgh	n	1
pittsfield	n	1
pituitary	an	0
pituophis	n	1
pity	nv	0
pityingly	r	0
pitymys	n	1
pityriasis	n	0
piute	n	1
pivot	nv	0
pivotal	a	0
pix	n	0
pixel	n	0
pixie	n	0
pixilated	a	0
pixy	n	0
pizarro	n	1
pizza	n	0
pizzaz	n	0
pizzazz	n	0
pizzeria	n	0
pizzicato	anr	0
pkd	n	1
pku	n	1
placable	a	0
placard	nv	0
placate	v	0
placating	a	0
placation	n	0
placative	a	0
placatory	a	0
place	nv	0
placeable	a	0
placebo	n	0
placed	a	0
placeman	n	0
placement	n	0
placenta	n	0
placental	an	0
placer	n	0
placid	a	0
placidity	n	0
placidly	r	0
placidness	n	0
placidyl	n	1
placket	n	0
placoderm	n	0
placodermi	n	1
placoid	a	0
placuna	n	1
plage	n	0
plagiarise	v	0
plagiarism	n	0
plagiarist	n	0
plagiarize	v	0
plague	nv	0
plaguey	ar	0
plaguily	r	0
plaguy	ar	0
plaice	n	0
plaid	n	0
plain	anrv	0
plainchant	n	0
plainly	r	0
plainness	n	0
plainsman	n	0
plainsong	n	0
plaint	n	0
plaintiff	n	0
plaintive	a	0
plait	nv	0
plaiter	n	0
plan	nv	0
planar	a	0
planaria	n	0
planarian	n	0
planate	a	0
planation	n	0
planchet	n	0
planchette	n	0
planck	n	1
plane	anv	0
planeness	n	0
planer	n	0
planera	n	1
planet	n	0
planetal	a	0
planetary	a	0
planetoid	n	0
plangency	n	0
plangent	a	0
planimeter	n	0
plank	nv	0
planking	n	0
plankton	n	0
planktonic	a	0
planless	a	0
planned	a	0
planner	n	0
planning	n	0
plano	n	1
plant	nv	0
plantae	n	1
plantago	n	1
plantain	n	0
plantal	a	0
plantar	a	0
plantation	n	0
planted	a	0
planter	n	0
planting	n	0
plantlet	n	0
plantsman	n	0
planula	n	0
plaque	n	0
plaquenil	n	1
plash	nv	0
plasm	n	0
plasma	n	0
plasmacyte	n	0
plasmid	n	0
plasmin	n	0
plasmodium	n	0
plassey	n	1
plaster	nv	0
plastered	a	0
plasterer	n	0
plastering	n	0
plastic	an	0
plasticine	n	1
plasticise	v	0
plasticity	n	0
plasticize	v	0
plastid	n	0
plastinate	v	0
plastique	n	0
plastron	n	0
plat	nv	0
plataea	n	1
platalea	n	1
platan	n	0
platanus	n	1
plate	nv	0
plateau	n	0
plateful	n	0
platelayer	n	0
platelet	n	0
platelike	a	0
platen	n	0
plater	n	0
platform	n	0
plath	n	1
plating	n	0
platinize	v	0
platinum	n	0
platitude	n	0
plato	n	1
platonic	a	0
platonism	n	1
platonist	n	1
platoon	n	0
platte	n	1
plattensee	n	1
platter	n	0
platy	n	0
platypus	n	0
platyrhine	a	0
platysma	n	0
plaudit	n	0
plaudits	n	0
plausible	a	0
plausibly	r	0
plausive	a	0
plautus	n	1
plavix	n	1
play	nv	0
playable	a	0
playact	v	0
playacting	n	0
playactor	n	0
playback	n	0
playbill	n	0
playbook	n	0
playbox	n	0
playboy	n	0
playday	n	0
played	a	0
player	n	0
playfellow	n	0
playful	a	0
playfully	r	0
playgoer	n	0
playground	n	0
playhouse	n	0
playing	n	0
playlet	n	0
playlist	n	0
playmaker	n	0
playmate	n	0
playoff	n	0
playpen	n	0
playroom	n	0
playschool	n	0
playscript	n	0
playsuit	n	0
plaything	n	0
playtime	n	0
playwright	n	0
plaza	n	0
plea	n	0
pleach	v	0
plead	v	0
pleader	n	0
pleading	an	0
pleadingly	r	0
pleasance	n	0
pleasant	a	0
pleasantly	r	0
pleasantry	n	0
please	rv	0
pleased	a	0
pleaser	n	0
pleasing	an	0
pleasingly	r	0
pleasure	n	0
pleat	nv	0
pleating	n	0
pleb	n	0
plebe	n	0
plebeian	an	0
plebiscite	n	0
plecoptera	n	1
plecotus	n	1
plectania	n	1
plectron	n	0
plectrum	n	0
pledge	nv	0
pledged	a	0
pledgee	n	0
pledger	n	0
pleiades	n	1
pleione	n	1
plenarily	r	0
plenary	a	0
plenitude	n	0
plenteous	a	0
plentiful	a	0
plentitude	n	0
plenty	nr	0
plenum	n	0
pleochroic	a	0
pleonasm	n	0
pleonaste	n	0
pleonastic	a	0
pleopod	n	0
plesiosaur	n	0
plessor	n	0
plethodon	n	1
plethodont	n	0
plethora	n	0
plethoric	a	0
pleura	n	0
pleural	a	0
pleuralgia	n	0
pleurisy	n	0
pleurocarp	n	0
pleurodont	n	0
pleurotus	n	1
pleven	n	1
plevna	n	1
plexiglas	n	1
plexiglass	n	0
pleximeter	n	0
pleximetry	n	0
plexor	n	0
plexus	n	0
plf	n	1
pliability	n	0
pliable	a	0
pliancy	n	0
pliant	a	0
pliantness	n	0
plica	n	0
plicate	v	0
plication	n	0
plier	n	0
pliers	n	0
plight	nv	0
plimsoll	n	0
plinth	n	0
pliny	n	1
pliocene	n	1
plo	n	1
ploce	n	0
ploceidae	n	1
ploceus	n	1
plod	nv	0
plodder	n	0
plodding	an	0
ploddingly	r	0
plonk	nv	0
plop	nrv	0
plosion	n	0
plosive	n	0
plot	nv	0
plotinus	n	1
plotted	a	0
plotter	n	0
plough	nv	0
ploughboy	n	0
ploughed	a	0
ploughing	n	0
ploughland	n	0
ploughman	n	0
plovdiv	n	1
plover	n	0
plow	nv	0
plowboy	n	0
plowed	a	0
plower	n	0
plowing	n	0
plowland	n	0
plowman	n	0
plowshare	n	0
plowwright	n	0
ploy	n	0
pluck	nv	0
plucked	a	0
pluckily	r	0
pluckiness	n	0
plucky	a	0
plug	nv	0
plugboard	n	0
plugged	a	0
plugger	n	0
plughole	n	0
plum	nr	0
plumage	n	0
plumaged	a	0
plumate	a	0
plumb	anrv	0
plumbable	a	0
plumbago	n	0
plumber	n	0
plumbery	n	0
plumbic	a	0
plumbing	n	0
plumbism	n	0
plumbous	a	0
plumcot	n	0
plume	nv	0
plumed	a	0
plumelike	a	0
plumeria	n	1
plumiera	n	1
plumlike	a	0
plummet	nv	0
plummy	a	0
plumose	a	0
plump	anrv	0
plumping	a	0
plumpness	n	0
plumule	n	0
plumy	a	0
plunder	nv	0
plunderage	n	0
plundered	a	0
plunderer	n	0
plundering	an	0
plunge	nv	0
plunger	n	0
plunk	nrv	0
plunker	n	0
pluperfect	an	0
plural	an	0
pluralise	v	0
pluralism	n	0
pluralist	n	0
plurality	n	0
pluralize	v	0
plus	an	0
plush	an	0
plushy	a	0
plutarch	n	1
pluteaceae	n	1
pluteus	n	1
pluto	n	1
plutocracy	n	0
plutocrat	n	0
pluton	n	0
plutonian	a	1
plutonic	a	0
plutonium	n	0
pluvialis	n	1
pluvianus	n	1
pluviose	n	1
ply	nv	0
plyboard	n	0
plyer	n	0
plyers	n	0
plymouth	n	1
plywood	n	0
plzen	n	1
pm	n	1
pms	n	1
pneumatic	a	0
pneumatics	n	0
pneumonia	n	0
pneumonic	a	0
pneumovax	n	1
po	n	1
poa	n	1
poaceae	n	1
poach	v	0
poached	a	0
poacher	n	0
poaching	n	0
pob	n	1
pocahontas	n	1
pocatello	n	1
pochard	n	0
pock	nv	0
pocked	a	0
pocket	nv	0
pocketable	a	0
pocketbook	n	0
pocketcomb	n	0
pocketful	n	0
pockmark	nv	0
pockmarked	a	0
pod	nv	0
podalgia	n	0
podalyria	n	1
podargidae	n	1
podargus	n	1
podaxaceae	n	1
podcast	v	0
podetium	n	0
podgy	a	0
podiatrist	n	0
podiatry	n	0
podiceps	n	1
podilymbus	n	1
podium	n	0
podlike	a	0
podocarp	n	0
podocarpus	n	1
podsol	n	0
podzol	n	0
poe	n	1
poeciliid	n	0
poem	n	0
poenology	n	0
poephila	n	1
poesy	n	0
poet	n	0
poetess	n	0
poetic	a	0
poetical	a	0
poetically	r	0
poetics	n	0
poetise	v	0
poetiser	n	0
poetize	v	0
poetizer	n	0
poetry	n	0
pogey	n	0
pogge	n	0
pogonia	n	0
pogonion	n	0
pogonip	n	0
pogostemon	n	1
pogrom	n	0
pogy	n	0
poi	n	0
poignance	n	0
poignancy	n	0
poignant	a	0
poignantly	r	0
poilu	n	0
poinciana	n	0
poinsettia	n	0
point	nv	0
pointed	a	0
pointedly	r	0
pointel	n	0
pointer	n	0
pointless	a	0
pointrel	n	0
pointsman	n	0
poise	nv	0
poised	a	0
poison	nv	0
poisoner	n	0
poisoning	n	0
poisonous	a	0
poitier	n	1
poitiers	n	1
poitou	n	1
poivrade	n	1
poke	nv	0
poker	n	0
pokeweed	n	0
pokey	an	0
poking	n	0
pokomo	n	1
poky	an	0
pol	n	0
polack	n	0
poland	n	1
polanisia	n	1
polar	a	0
polaris	n	1
polarise	v	0
polarity	n	0
polarize	v	0
polaroid	n	1
polder	n	0
pole	nv	0
poleax	nv	0
poleaxe	nv	0
polecat	n	0
polemic	an	0
polemical	a	0
polemicise	v	0
polemicist	n	0
polemicize	v	0
polemics	n	0
polemise	v	0
polemist	n	0
polemize	v	0
polemonium	n	0
polenta	n	0
poler	n	0
polestar	n	0
polianthes	n	1
police	nv	0
policeman	n	0
policy	n	0
polio	n	0
polioptila	n	1
poliosis	n	0
poliovirus	n	0
polish	anv	0
polished	a	0
polisher	n	0
polishing	n	0
polistes	n	1
politburo	n	0
polite	a	0
politely	r	0
politeness	n	0
politesse	n	0
politic	a	0
political	a	0
politician	n	0
politicise	v	0
politicize	v	0
politick	v	0
politico	n	0
politics	n	0
polity	n	0
polk	n	1
polka	nv	0
poll	nv	0
pollachius	n	1
pollack	n	0
pollard	nv	0
pollen	n	0
pollenate	v	0
pollex	n	0
pollinate	v	0
pollinator	n	0
pollinium	n	0
pollinosis	n	0
polliwog	n	0
pollock	n	0
polls	n	0
pollster	n	0
pollucite	n	0
pollutant	n	0
pollute	v	0
polluted	a	0
polluter	n	0
pollution	n	0
pollux	n	1
pollyfish	n	0
pollywog	n	0
polo	n	0
polonaise	n	0
polonium	n	0
polony	n	0
polska	n	1
poltroon	an	0
polyamide	n	0
polyandry	n	0
polyangium	n	1
polyanthus	n	0
polyatomic	a	0
polyborus	n	1
polybotria	n	1
polybotrya	n	1
polybutene	n	0
polycarp	n	1
polychaeta	n	1
polychaete	n	0
polychete	n	0
polychrome	anv	0
polycillin	n	1
polycirrus	n	1
polydactyl	a	0
polydipsia	n	0
polyergus	n	1
polyester	n	0
polyfoam	n	0
polygala	n	1
polygamist	n	0
polygamous	a	0
polygamy	n	0
polygene	n	0
polygenic	a	0
polyglot	an	0
polygon	n	0
polygonal	a	0
polygonia	n	1
polygonum	n	1
polygraph	n	0
polygynist	n	0
polygynous	a	0
polygyny	n	0
polyhedral	a	0
polyhedron	n	0
polyhymnia	n	1
polymath	n	0
polymer	n	0
polymerase	n	0
polymeric	a	0
polymerise	v	0
polymerize	v	0
polymorph	n	0
polymox	n	1
polymyxin	n	0
polynesia	n	1
polynesian	an	1
polynomial	an	0
polynya	n	0
polyodon	n	1
polyoicous	a	0
polyoma	n	0
polyose	n	0
polyp	n	0
polyphase	a	0
polyphone	n	0
polyphonic	a	0
polyphony	n	0
polyploid	an	0
polyploidy	n	0
polypodium	n	1
polypody	n	0
polypore	n	0
polyporus	n	1
polyprion	n	1
polyptoton	n	0
polypus	n	0
polysemant	n	0
polysemous	a	0
polysemy	n	0
polysomy	n	0
polytheism	n	0
polytheist	n	0
polythene	n	0
polytonal	a	0
polyuria	n	0
polyvalent	a	0
polyzoa	n	0
polyzoan	n	0
pom	n	0
pomade	nv	0
pomaded	a	0
pomaderris	n	1
pomatomus	n	1
pomatum	n	0
pome	n	0
pomelo	n	0
pomeranian	n	1
pomfret	n	0
pommel	nv	0
pommy	n	0
pomo	n	1
pomolobus	n	1
pomologist	n	0
pomology	n	0
pomoxis	n	1
pomp	n	0
pompadour	nv	0
pompano	n	0
pompeii	n	1
pompey	n	1
pompon	n	0
pomposity	n	0
pompous	a	0
pompously	r	0
ponca	n	1
ponce	n	0
poncho	n	0
poncirus	n	1
pond	n	0
ponder	v	0
ponderable	a	0
ponderer	n	0
pondering	a	0
ponderosa	n	0
ponderous	a	0
pondweed	n	0
pone	n	0
pong	n	0
pongamia	n	1
pongee	n	0
pongid	n	0
pongidae	n	1
pongo	n	1
poniard	nv	0
ponka	n	1
pons	n	0
ponselle	n	1
ponstel	n	1
pontederia	n	1
pontiac	n	1
pontifex	n	0
pontiff	n	0
pontifical	an	0
pontoon	n	0
pontos	n	1
pontus	n	1
pony	n	0
ponycart	n	0
ponytail	n	0
pooch	nv	0
pood	n	0
poodle	n	0
pooecetes	n	1
poof	n	0
pool	nv	0
pooler	n	0
poolroom	n	0
poon	n	0
poop	n	0
poor	an	0
poorhouse	n	0
poorly	r	0
poorness	n	0
poorwill	n	0
poove	n	0
pop	anrv	0
popcorn	n	0
pope	n	0
popery	n	0
popeyed	a	0
popgun	n	0
popillia	n	1
popinjay	n	0
popish	a	0
popishly	r	0
poplar	n	0
poplin	n	0
popliteal	a	0
popover	n	0
popper	n	0
poppet	n	0
popping	n	0
poppy	n	0
poppycock	n	0
popsicle	n	0
populace	n	0
popular	a	0
popularise	v	0
popularism	n	0
popularity	n	0
popularize	v	0
popularly	r	0
populate	v	0
populated	a	0
population	n	0
populism	n	0
populist	n	0
populous	a	0
populus	n	1
porbeagle	n	0
porc	n	0
porcelain	n	0
porcellio	n	1
porch	n	0
porcine	a	0
porcupine	n	0
porcupines	n	0
pore	nv	0
porgy	n	0
porifera	n	1
poriferan	n	0
poriferous	a	0
pork	n	0
porkchop	n	0
porker	n	0
porkfish	n	0
porkholt	n	0
porkpie	n	0
porn	n	0
porno	n	0
poronotus	n	1
poroporo	n	0
porose	a	0
porosity	n	0
porous	a	0
porousness	n	0
porphyra	n	1
porphyria	n	0
porphyrin	n	0
porphyrio	n	1
porphyrula	n	1
porphyry	n	0
porpoise	n	0
porridge	n	0
porringer	n	0
port	anv	0
porta	n	0
portable	an	0
portage	n	0
portal	n	0
portcullis	n	0
porte	n	1
portend	v	0
portent	n	0
portentous	a	0
porter	nv	0
porterage	n	0
portfolio	n	0
porthole	n	0
portico	n	0
porticoed	a	0
portiere	n	0
portion	nv	0
portland	n	1
portly	a	0
porto	n	1
portrait	n	0
portray	v	0
portrayal	n	0
portrayed	a	0
portrayer	n	0
portraying	n	0
portsmouth	n	1
portugal	n	1
portuguese	an	1
portulaca	n	0
portunidae	n	1
portunus	n	1
porzana	n	1
pose	nv	0
posed	a	0
poseidon	n	1
poser	n	0
poseur	n	0
poseuse	n	0
posh	a	0
posing	n	0
posit	nv	0
position	nv	0
positional	a	0
positioner	n	0
positive	an	0
positively	r	0
positivism	n	0
positivist	an	0
positivity	n	0
positron	n	0
posology	n	0
posse	n	0
posseman	n	0
possess	v	0
possessed	a	0
possession	n	0
possessive	an	0
possessor	n	0
posset	n	0
possible	an	0
possibly	r	0
possum	n	0
possumwood	n	0
post	nv	0
postage	n	0
postal	a	0
postbag	n	0
postbox	n	0
postcard	n	0
postcava	n	0
postcode	n	0
postdate	v	0
postdoc	n	0
posted	a	0
poster	n	0
posterior	an	0
posterity	n	0
postern	n	0
postexilic	a	0
postfix	n	0
posthitis	n	0
posthole	n	0
posthouse	n	0
posthumous	a	0
postiche	n	0
postictal	a	0
postilion	n	0
postillion	n	0
posting	n	0
postlude	n	0
postman	n	0
postmark	nv	0
postmaster	n	0
postmodern	a	0
postmortal	a	0
postmortem	an	0
postnatal	a	0
postpaid	a	0
postpartum	a	0
postpone	v	0
postponer	n	0
postpose	v	0
postscript	n	0
postulant	n	0
postulate	nv	0
postulator	n	0
postum	n	1
postural	a	0
posture	nv	0
posturer	n	0
posturing	n	0
postwar	a	0
posy	n	0
pot	nv	0
potable	an	0
potage	n	0
potamogale	n	0
potamophis	n	1
potash	n	0
potassium	n	0
potation	n	0
potato	n	0
potawatomi	n	1
potbellied	a	0
potbelly	n	0
potboiler	n	0
potbound	a	0
potboy	n	0
poteen	n	0
potemkin	n	1
potence	n	0
potency	n	0
potent	a	0
potentate	n	0
potential	an	0
potentiate	v	0
potentilla	n	1
potently	r	0
poterium	n	1
potful	n	0
pothead	n	0
pother	nv	0
potherb	n	0
potholder	n	0
pothole	n	0
potholed	a	0
potholer	n	0
pothook	n	0
pothos	n	0
pothouse	n	0
pothunter	n	0
potion	n	0
potlatch	n	0
potluck	n	0
potman	n	0
potomac	n	1
potomania	n	0
potoroinae	n	1
potoroo	n	0
potorous	n	1
potos	n	1
potpie	n	0
potpourri	n	0
potsdam	n	1
potsherd	n	0
potshot	n	0
pottage	n	0
potted	a	0
potter	nv	0
potterer	n	0
pottery	n	0
pottle	n	0
potto	n	0
potty	an	0
potyokin	n	1
pouch	nv	0
pouched	a	0
pouchlike	a	0
poudrin	n	0
pouf	n	0
pouffe	n	0
poulenc	n	1
poulet	n	0
poulette	n	0
poulterer	n	0
poultice	nv	0
poultry	n	0
poultryman	n	0
pounce	nv	0
pound	nv	0
poundage	n	0
poundal	n	0
pounder	n	0
pounding	n	0
pour	v	0
pourboire	n	0
pouring	a	0
poussin	n	1
pout	nv	0
pouter	n	0
pouteria	n	1
poutingly	r	0
poverty	n	0
pow	n	1
powder	nv	0
powdered	a	0
powderer	n	0
powderise	v	0
powderize	v	0
powderpuff	n	0
powdery	a	0
powell	n	1
power	nv	0
powerboat	n	0
powered	a	0
powerful	ar	0
powerfully	r	0
powerhouse	n	0
powerless	a	0
powerwash	v	0
powhatan	n	1
powwow	nv	0
powys	n	1
pox	n	0
poxvirus	n	0
poyang	n	1
poyou	n	0
pozsony	n	1
ppk	n	1
pplo	n	1
ppp	n	1
pr	n	1
practical	a	0
practice	nv	0
practiced	a	0
practician	n	0
practise	v	0
practised	a	0
praenomen	n	0
praesidium	n	0
praetor	n	0
praetorial	a	0
praetorian	an	0
praetorium	n	0
prag	n	1
pragmatic	an	0
pragmatics	n	0
pragmatism	n	0
pragmatist	n	0
prague	n	1
praha	n	1
praia	n	1
prairial	n	1
prairie	n	0
praise	nv	0
praiseful	a	0
praising	a	0
prajapati	n	1
prakrit	n	1
prakritic	a	1
praline	n	0
pram	n	0
prance	nv	0
prancer	n	0
prandial	a	0
prang	nv	0
prank	nv	0
prankish	a	0
prankster	n	0
prat	n	0
prate	nv	0
prater	n	0
pratfall	n	0
pratincole	n	0
prattle	nv	0
